,CallPrice,PutPrice,StrikePrice,A50Price,LocalTime,Type,TransactionArbitrage,Profit
110,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:31.868939,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
111,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:32.349281,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
112,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:32.895106,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
113,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:32.895158,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
114,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:33.297414,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
115,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:33.807360,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
116,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:33.807449,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
117,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:34.851582,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
118,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:34.851631,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
119,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:35.327082,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
120,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:36.326757,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
121,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:38.362492,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
122,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:38.362522,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
123,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:38.363306,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
124,0.1555,0.0035,1.8,1.958,2016-Feb-16 09:31:38.363350,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,6.568384398530328
125,0.0227,0.071,2.0,1.958,2016-Feb-16 09:31:39.932425,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.8157281409319745
126,0.1547,0.0035,1.8,1.958,2016-Feb-16 09:31:39.932653,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.8683843985312087
